2014-12-15 19:45:12	--LOG DE EJECUCION--
2014-12-15 19:45:12	Ejecutando contenido
2014-12-15 19:45:20	--------------------
2014-12-16 01:20:21	Ejecutando contenido
2014-12-16 01:20:24	--------------------
2014-12-16 01:50:30	Ejecutando contenido
2014-12-16 01:50:32	--------------------
2014-12-16 01:51:37	Ejecutando activa
2014-12-16 01:51:43	SQLException	Duplicate entry '3028' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '13' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '13' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '7' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '11' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '3030' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '3362' for key 'PRIMARY'
2014-12-16 01:51:44	SQLException	Duplicate entry '24' for key 'PRIMARY'
2014-12-16 01:51:45	SQLException	Duplicate entry '28' for key 'PRIMARY'
2014-12-16 01:51:45	SQLException	Duplicate entry '27' for key 'PRIMARY'
2014-12-16 01:51:45	SQLException	Duplicate entry '27' for key 'PRIMARY'
2014-12-16 01:51:46	SQLException	Duplicate entry '40' for key 'PRIMARY'
2014-12-16 01:51:46	SQLException	Duplicate entry '39' for key 'PRIMARY'
2014-12-16 01:51:47	SQLException	Duplicate entry '66' for key 'PRIMARY'
2014-12-16 01:51:47	SQLException	Duplicate entry '66' for key 'PRIMARY'
2014-12-16 01:51:47	SQLException	Duplicate entry '3541' for key 'PRIMARY'
2014-12-16 01:51:47	SQLException	Duplicate entry '116' for key 'PRIMARY'
2014-12-16 01:51:48	SQLException	Duplicate entry '85' for key 'PRIMARY'
2014-12-16 01:51:48	SQLException	Duplicate entry '85' for key 'PRIMARY'
2014-12-16 01:51:48	SQLException	Duplicate entry '85' for key 'PRIMARY'
2014-12-16 01:51:48	SQLException	Duplicate entry '78' for key 'PRIMARY'
2014-12-16 01:51:48	SQLException	Duplicate entry '78' for key 'PRIMARY'
2014-12-16 01:51:49	SQLException	Duplicate entry '90' for key 'PRIMARY'
2014-12-16 01:51:49	SQLException	Duplicate entry '3765' for key 'PRIMARY'
2014-12-16 01:51:49	SQLException	Duplicate entry '3765' for key 'PRIMARY'
2014-12-16 01:51:49	SQLException	Duplicate entry '3552' for key 'PRIMARY'
2014-12-16 01:51:50	SQLException	Duplicate entry '3552' for key 'PRIMARY'
2014-12-16 01:51:50	SQLException	Duplicate entry '156' for key 'PRIMARY'
2014-12-16 01:51:50	SQLException	Duplicate entry '170' for key 'PRIMARY'
2014-12-16 01:51:50	SQLException	Duplicate entry '170' for key 'PRIMARY'
2014-12-16 01:51:50	SQLException	Duplicate entry '119' for key 'PRIMARY'
2014-12-16 01:51:51	SQLException	Duplicate entry '125' for key 'PRIMARY'
2014-12-16 01:51:52	SQLException	Duplicate entry '201' for key 'PRIMARY'
2014-12-16 01:51:52	SQLException	Duplicate entry '201' for key 'PRIMARY'
2014-12-16 01:51:52	SQLException	Duplicate entry '3392' for key 'PRIMARY'
2014-12-16 01:51:52	SQLException	Duplicate entry '3392' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '234' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '234' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '234' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '248' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '3266' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '3266' for key 'PRIMARY'
2014-12-16 01:51:53	SQLException	Duplicate entry '3266' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '260' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '251' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '261' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '261' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '261' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '261' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '159' for key 'PRIMARY'
2014-12-16 01:51:54	SQLException	Duplicate entry '268' for key 'PRIMARY'
2014-12-16 01:51:55	SQLException	Duplicate entry '268' for key 'PRIMARY'
2014-12-16 01:51:55	SQLException	Duplicate entry '274' for key 'PRIMARY'
2014-12-16 01:51:56	SQLException	Duplicate entry '285' for key 'PRIMARY'
2014-12-16 01:51:56	SQLException	Duplicate entry '295' for key 'PRIMARY'
2014-12-16 01:51:56	SQLException	Duplicate entry '293' for key 'PRIMARY'
2014-12-16 01:51:56	SQLException	Duplicate entry '303' for key 'PRIMARY'
2014-12-16 01:51:56	SQLException	Duplicate entry '299' for key 'PRIMARY'
2014-12-16 01:51:56	SQLException	Duplicate entry '309' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '309' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '3768' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '312' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '2737' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '2737' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '2737' for key 'PRIMARY'
2014-12-16 01:51:57	SQLException	Duplicate entry '2737' for key 'PRIMARY'
2014-12-16 01:51:58	SQLException	Duplicate entry '337' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '371' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '365' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '3681' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '3681' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '3681' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '3681' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:51:59	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:52:00	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:52:00	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:52:00	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:52:00	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:52:00	SQLException	Duplicate entry '322' for key 'PRIMARY'
2014-12-16 01:52:01	SQLException	Duplicate entry '386' for key 'PRIMARY'
2014-12-16 01:52:01	SQLException	Duplicate entry '390' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '397' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '397' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '2138' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '2138' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '3569' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '412' for key 'PRIMARY'
2014-12-16 01:52:02	SQLException	Duplicate entry '412' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '412' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '3864' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '404' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '403' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '2141' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '416' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '515' for key 'PRIMARY'
2014-12-16 01:52:03	SQLException	Duplicate entry '515' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '511' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '511' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '2749' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '2749' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '2749' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '2749' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '2749' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '428' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '428' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '431' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '431' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '431' for key 'PRIMARY'
2014-12-16 01:52:04	SQLException	Duplicate entry '431' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '431' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '431' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '443' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '443' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '440' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '440' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '440' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '440' for key 'PRIMARY'
2014-12-16 01:52:05	SQLException	Duplicate entry '440' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '3281' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '3281' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '448' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '448' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '448' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '448' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '448' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '427' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '427' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '437' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:06	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:07	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:07	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:07	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:07	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:07	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:07	SQLException	Duplicate entry '452' for key 'PRIMARY'
2014-12-16 01:52:10	SQLException	Duplicate entry '438' for key 'PRIMARY'
2014-12-16 01:52:10	SQLException	Duplicate entry '473' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '453' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '453' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '453' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '453' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '453' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '453' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '514' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '509' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '509' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '544' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '544' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '544' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '3062' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '660' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '660' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '660' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '595' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '595' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '595' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '641' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '528' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '528' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '3692' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '526' for key 'PRIMARY'
2014-12-16 01:52:15	SQLException	Duplicate entry '3573' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '534' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '590' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '3872' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '537' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '537' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '545' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '627' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '622' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '622' for key 'PRIMARY'
